term,category_label
health,General Health & Services
well-being,General Health & Services
wellbeing,General Health & Services
medical,General Health & Services
healthcare,General Health & Services
health care,General Health & Services
health service,General Health & Services
health clinic,General Health & Services
hospital,General Health & Services
hospitalisation,General Health & Services
doctor,General Health & Services
gp,General Health & Services
health emergency,General Health & Services
emergency,General Health & Services
diagnosis,General Health & Services
clinical,General Health & Services
patients,General Health & Services
emergency department,General Health & Services
a&e,General Health & Services
mortality,Mortality & Morbidity
morbidity,Mortality & Morbidity
daly,Mortality & Morbidity
death,Mortality & Morbidity
deaths,Mortality & Morbidity
loss of life,Mortality & Morbidity
loss of lives,Mortality & Morbidity
human life,Mortality & Morbidity
injury,Injury & Trauma
injuries,Injury & Trauma
accident,Injury & Trauma
traumatic injury,Injury & Trauma
fatigue,Injury & Trauma
trauma,Injury & Trauma
traumatic,Injury & Trauma
disease,Communicable Diseases
diseases,Communicable Diseases
ill,Communicable Diseases
illness,Communicable Diseases
illnesses,Communicable Diseases
syndrome,Communicable Diseases
infection,Communicable Diseases
infections,Communicable Diseases
epidemiology,Communicable Diseases
epidemic,Communicable Diseases
epidemics,Communicable Diseases
pandemic,Communicable Diseases
pandemics,Communicable Diseases
malaria,Communicable Diseases
diarrhoea,Communicable Diseases
diarrhea,Communicable Diseases
diarrheal disease,Communicable Diseases
diarrhoeal disease,Communicable Diseases
cholera,Communicable Diseases
typhoid,Communicable Diseases
dysentery,Communicable Diseases
leptospirosis,Communicable Diseases
polio,Communicable Diseases
measles,Communicable Diseases
sars,Communicable Diseases
severe acute respiratory syndrome,Communicable Diseases
tuberculosis,Communicable Diseases
tb,Communicable Diseases
influenza,Communicable Diseases
flu,Communicable Diseases
pneumonia,Communicable Diseases
respiratory tract infection,Communicable Diseases
covid-19,Communicable Diseases
covid,Communicable Diseases
coronavirus disease 2019,Communicable Diseases
coronavirus,Communicable Diseases
ebola,Communicable Diseases
hepatitis,Communicable Diseases
hiv,Communicable Diseases
human immunodeficiency virus,Communicable Diseases
aids,Communicable Diseases
