ISO3,Country,LC,WHO,HDI
AFG,Afghanistan,Asia,Eastern Mediterranean,Low
ALB,Albania,Europe,Europe,Very High
DZA,Algeria,Africa,Africa,High
ASM,American Samoa (USA),SIDS,Western Pacific,
AND,Andorra,Europe,Europe,Very High
AGO,Angola,Africa,Africa,Medium
AIA,Anguilla,SIDS,Americas,
ATG,Antigua and Barbuda,SIDS,Americas,Very High
ARG,Argentina,Latin America,Americas,Very High
ARM,Armenia,Asia,Europe,Very High
ABW,Aruba,SIDS,Americas,
AUS,Australia,Oceania,Western Pacific,Very High
AUT,Austria,Europe,Europe,Very High
AZE,Azerbaijan,Asia,Europe,High
BHS,Bahamas,SIDS,Americas,Very High
BHR,Bahrain,Asia,Eastern Mediterranean,Very High
BGD,Bangladesh,Asia,South-East Asia,Medium
BRB,Barbados,SIDS,Americas,Very High
BLR,Belarus,Europe,Europe,Very High
BEL,Belgium,Europe,Europe,Very High
BLZ,Belize,SIDS,Americas,High
BEN,Benin,Africa,Africa,Low
BMU,Bermuda,SIDS,Americas,
BTN,Bhutan,Asia,South-East Asia,Medium
VEN,Bolivarian Republic of Venezuela,Latin America,Americas,High
BOL,Bolivia,Latin America,Americas,High
BIH,Bosnia and Herzegovina,Europe,Europe,Very High
BWA,Botswana,Africa,Africa,High
BRA,Brazil,Latin America,Americas,High
VGB,British Virgin Islands,SIDS,Americas,
BRN,Brunei Darussalam,Asia,Western Pacific,Very High
BGR,Bulgaria,Europe,Europe,Very High
BFA,Burkina Faso,Africa,Africa,Low
BDI,Burundi,Africa,Africa,Low
CPV,Cabo Verde,SIDS,Africa,Medium
KHM,Cambodia,Asia,Western Pacific,Medium
CMR,Cameroon,Africa,Africa,Medium
CAN,Canada,Northern America,Americas,Very High
CYM,Cayman Islands,SIDS,Americas,
CAF,Central African Republic,Africa,Africa,Low
TCD,Chad,Africa,Africa,Low
CHL,Chile,Latin America,Americas,Very High
CHN,China,Asia,Western Pacific,High
COL,Colombia,Latin America,Americas,High
MNP,Commonwealth of the Northern Mariana Islands (USA),SIDS,Western Pacific,
COM,Comoros,SIDS,Africa,Medium
COG,Congo,Africa,Africa,Medium
COK,Cook Islands,SIDS,Western Pacific,
CRI,Costa Rica,Latin America,Americas,Very High
CIV,Cote d'Ivoire,Africa,Africa,Medium
HRV,Croatia,Europe,Europe,Very High
CUB,Cuba,SIDS,Americas,High
CUW,Curaçao,SIDS,Americas,
CYP,Cyprus,Asia,Europe,Very High
CZE,Czechia,Europe,Europe,Very High
PRK,Democratic People's Republic of Korea,Asia,South-East Asia,
COD,Democratic Republic of the Congo,Africa,Africa,Low
DNK,Denmark,Europe,Europe,Very High
DJI,Djibouti,Africa,Eastern Mediterranean,Low
DMA,Dominica,SIDS,Americas,High
DOM,Dominican Republic,SIDS,Americas,High
ECU,Ecuador,Latin America,Americas,High
EGY,Egypt,Africa,Eastern Mediterranean,High
SLV,El Salvador,Latin America,Americas,Medium
GNQ,Equatorial Guinea,Africa,Africa,Medium
ERI,Eritrea,Africa,Africa,Low
EST,Estonia,Europe,Europe,Very High
SWZ,Eswatini,Africa,Africa,Medium
ETH,Ethiopia,Africa,Africa,Low
