Country,Total documents,Health relevance (1/0),Health adaptation mandate (1/0),Institutional health role (1/0),Adaptation,Mitigation,Disaster Risk Management,Loss And Damage
Afghanistan,5,1,1,0,4,3,2,0
Albania,11,6,3,0,1,11,0,0
Algeria,4,4,3,1,1,3,1,0
Andorra,16,13,5,0,6,16,0,0
Angola,1,0,0,0,0,1,0,0
Antigua and Barbuda,5,1,0,0,2,3,2,0
Argentina,28,11,2,0,8,22,3,0
Armenia,2,0,0,0,0,2,0,0
Australia,23,10,8,0,1,21,0,0
Austria,24,22,2,0,2,23,0,3
Azerbaijan,1,0,0,0,0,1,0,0
Bahamas,4,1,1,0,1,4,0,0
Bangladesh,6,3,1,0,2,4,2,0
Barbados,3,0,0,0,0,3,0,0
Belarus,8,1,1,1,4,7,1,0
Belgium,14,11,11,0,1,14,0,0
Belize,1,1,1,0,0,1,1,0
Benin,1,0,0,0,1,0,0,0
Bhutan,6,0,0,0,4,3,1,0
Bolivia,13,10,1,1,11,7,9,2
Bosnia and Herzegovina,2,1,0,0,1,1,1,0
Botswana,1,1,1,0,1,1,0,0
Brazil,52,37,5,0,15,47,4,1
Bulgaria,17,11,9,3,6,16,1,0
Burkina Faso,5,1,0,0,2,2,2,0
Cambodia,3,0,0,0,3,2,3,0
Canada,14,13,9,1,3,14,0,0
Central African Republic,2,0,0,0,0,2,0,0
Chile,16,4,0,0,3,14,2,0
China,24,12,10,0,3,23,0,0
Colombia,22,18,4,0,7,19,1,0
Congo,2,0,0,0,1,2,0,0
Costa Rica,8,2,0,0,1,8,0,0
Croatia,13,2,0,0,2,12,0,0
Cuba,5,2,1,1,5,2,2,0
Cyprus,1,0,0,0,0,1,0,0
Czechia,5,2,0,0,1,4,1,0
Côte d'Ivoire,5,1,1,0,3,5,0,0
Denmark,25,11,3,0,8,24,0,0
Djibouti,3,0,0,0,1,2,1,0
Dominica,2,0,0,0,1,1,1,1
Dominican Republic,11,2,2,0,5,9,1,0
Ecuador,7,3,2,1,5,7,1,0
