Document ID,Document Title,Family ID,Family Title,Family Summary,Collection Title(s),Collection Description(s),Document Variant,Document Content URL,Reason for extraction being failed,,Language,Source,Geography ISOs,Geographies,First event in timeline,Last event in timeline,Full timeline of events (types),Full timeline of events (dates),Date Added to System,Last Modified on System,Internal Document ID,Internal Family ID,Internal Corpus ID,Internal Collection ID(s),Document Role,Document Type,Category,Framework,Topic/Response,Hazard,Sector,Keyword,Instrument,Author,Author Type,Document URL,Family URL
anp-ordinance-no-249-2000-regulation-on-oil-and-natural-gas-losses_3004,"ANP Ordinance no. 249, 2000, Regulation on oil and natural gas losses",anp-ordinance-no-249-2000-regulation-on-oil-and-natural-gas-losses_8f60,"ANP Ordinance no. 249, 2000, Regulation on oil and natural gas losses","<p>PORTARIA ANP NÂº 249, DE 1Âº.11.2000 - DOU 3.11.2000</p>
<p>The regulation defines the rules for natural gas flaring. These include:</p>
<p>-	The separation of cases in which the flared gas is subject to royalties and the ones in which it is not.</p>
<p>-	The definition of the circumstances where natural gas can be flared.</p>
<p>-	The reasons that concede exemption or not of the need for authorization for flaring.</p>
<p>The limits are defined by the ANP (National Agency of Petroleum, Natural Gas and Biofuels).</p>",,,Original Language,https://www.ibama.gov.br/sophia/cnia/legislacao/AGENCIAS/ANP/PT0249-011100.PDF,"Cant reach this page. Taking too long to respond. Connection timed out during automated extraction. But also could not be reached when checked manually. Message read: 'This site can’t be reached
www.ibama.gov.br took too long to respond.'",,Portuguese,CPR,BRA,Brazil,2002-01-01 00:00:00+00:00,01/01/2002,Passed/Approved,01/01/2002,24/09/2024,15/05/2025,CPR.document.i00002061.n0000,CPR.family.i00002060.n0000,CPR.corpus.i00000001.n0000,,Summary,Regulation,Legislative,,Mitigation,,Industry;Energy,Mitigation,"Standards, obligations and norms|Regulation",,,,
federal-law-15-042-2024_7b8f,Federal Law 15.042/2024,federal-law-15-042-2024-on-the-brazilian-greenhouse-gas-emissions-trading-system-sbce_f7fa,Federal Law 15.042/2024 on the Brazilian Greenhouse Gas Emissions Trading System (SBCE),"<p>This law establishes the Brazilian Greenhouse Gas Emissions Trading System (SBCE). It applies to activities, sources and facilities located in the national territory that emit or may emit greenhouse gases (GHG), under the responsibility of operators, individuals or legal entities, with the exception of primary agricultural production, as well as assets, improvements and infrastructure within rural properties directly associated with it, which are not subject to obligations imposed under the SBCE. Indirect emissions from the production of agricultural inputs or raw materials are also not considered.</p>",,,Original Language,https://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=12/12/2024&jornal=515&pagina=4,"Cant reach the webpage. Message on website read: 'This site can’t be reached
The web page at https://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=12/12/2024&jornal=515&pagina=4 might be temporarily down or it may have moved permanently to a new web address.
ERR_HTTP2_PROTOCOL_ERROR'",,Portuguese,CCLW,BRA,Brazil,2024-12-11 00:00:00+00:00,11/12/2024,Passed/Approved,11/12/2024,15/04/2025,16/04/2025,CCLW.document.i00003259.n0000,CCLW.family.i00003258.n0000,CCLW.corpus.i00000001.n0000,,Main,Law,Legislative,,Mitigation,,Economy-wide,Trading Scheme;GHG,,,,,
energy-from-renewable-sources-act_18bd,Energy from Renewable Sources Act,energy-from-renewable-sources-act_4d88,Energy from Renewable Sources Act,"The Energy from Renewable Sources Act replaces the Renewable and Alternative Energy Sources and Biofuels Act (2008), which was the first national legislation entirely dedicated to the renewable energy sources, mainly introducing the requirements of the related EU directives. The 2008 Act established support mechanisms that provided for 'equal preferential treatment for producers of electricity (green certificates); mandatory inclusion of utilities generating electricity from RES and biofuels into the national grid; establishing preferential prices for purchasing energy generated from RES (feed-in tariffs); and reducing the administrative burden on producers. The Act resulted in a rapid development of RES (wind and photovoltaic), which put upward pressure on electricity prices. As a result in June 2011 the Parliament adopted the Energy from Renewable Sources Act. The new legislation kept RES preferential treatment options but introduced a preference for energy from biomass and shifted the balance of power from RES producers to grid operators and allowed for a substantial reduction of the prices of energy from photovoltaic (PV)'.",,,Translation,https://www.seea.government.bg/documents/Energy_from_Renewable_Sources_Act.pdf,PDF accessed manually,Sorted,English;English,CCLW,BGR,Bulgaria,2011-05-03 00:00:00+00:00,11/04/2014,Passed/Approved;Amended,2011-05-03;2014-04-11,30/11/2023,07/04/2025,CCLW.legislative.1103.3073,CCLW.family.1103.0,CCLW.corpus.i00000001.n0000,,Main,Act,Legislative,,Mitigation,,Energy,Energy Supply,Subsidies|Economic;Capacity building|Governance,,,,
forest-law-no-1700_525a,Forest Law No. 1700,forest-law-no-1700_22c2,Forest Law No. 1700,"This law was written to bring forestry legislation up to standards with the international conventions that Bolivia has signed, including the ratification of the UNFCCC as well as the UN Convention to Combat Desertification and Drought.The law updates the legal framework, shoring up the federal state's authority to regulate the forestry industry and economic land use. The objective listed in the law's text is to establish legal norms for the sustainable use and protection of national forests, harmonising social, economic and ecological interests for present and future generations.The law creates a Regimen of National Forests to be overseen by a national Forestry Superintendent, and a National Forest Development Fund; all of which are under the Ministry of Sustainable Development and Environment (now called the Ministry of Environment and Water).This is an early legislative action to combat desertification in Bolivia, mitigate the negative effects of GHG emissions through the conservation of tropical forests, and preserve the natural environment for future generations. While climate change was one driver for this law, explicit mention of climate change is marginal to the logic of conservation; and the Law of Mother Earth (listed above as the national flagship legislation) now occupies the main role in incorporating mitigation and adaptation strategies to forestry management.",,,,https://www.tribunalagroambiental.bo/wp-content/uploads/2021/01/ley_1700gaceta.pdf,PDF accessed manually,Sorted,,CCLW,BOL,Bolivia,1996-09-12 00:00:00+00:00,12/09/1996,Passed/Approved,12/09/1996,30/11/2023,14/01/2025,CCLW.legislative.1088.0,CCLW.family.1088.0,CCLW.corpus.i00000001.n0000,,Main,Law,Legislative,,Adaptation;Mitigation,,,REDD+ And LULUCF,,,,,
disaster-management-regulations-2016_b8d1,"Disaster Management Regulations, 2016",disaster-management-act-no-17-of-2015_be8e,Disaster Management Act (No. 17 of 2015),"<p>This Act provides guidelines and measures for disaster prevention, preparedness, mitigation and response measures and establishes the Disaster Management Agency and the Disaster Management Fund. The Agency is established as a body corporate and shall be managed by the Disaster Management Council. The Act also designates Regional, District, Ward and Village Disaster Management Committees. The Agency shall, with approval of the Minister, prepare and maintain the Disaster Management Plan.</p>
",,,Original Language,https://drmims.sadc.int/sites/default/files/document/2020-03/Tanzania_DM%20ACT%20REGULATIONS%202016.pdf,"Cant reach this page. Taking too long to respond. Connection timed out during automated extraction. But also could not be reached when checked manually. Message read: 'This site can’t be reached
drmims.sadc.int took too long to respond.'",,English,CCLW,TZA,Tanzania,2015-05-11 00:00:00+00:00,01/02/2017,Passed/Approved;Entered Into Force,2015-05-11;2017-02-01,22/11/2024,25/11/2024,CCLW.document.i00001617.n0000,CCLW.family.9222.0,CCLW.corpus.i00000001.n0000,,Supporting Legislation,Regulation,Legislative,,Adaptation;Disaster Risk Management,,,Adaptation,Capacity building|Governance;Institutional mandates|Governance,,,,
climate-change-amendment-act-2023_6f93,"Climate Change (Amendment) Act, 2023",climate-change-act_e5f8,Climate Change Act,"<p>Kenya passed its Climate Change Act in 2016. This Act was subsequently amended in September 2023 to, amongst other amendments, provide a legal framework for regulation of carbon markets. The Climate Change Council is entrusted to provide guidance and policy direction on carbon markets to national and county governments. The 2023 amendment places an obligation on proponents of carbon trading projects to specify the anticipated environmental, economic and social benefits of the project. All projects shall be implemented through a community development agreement, recorded in the National Carbon Registry. For land-based projects, the agreement should provide an annual contribution of at least 40% of the aggregate earnings, whilst non-land-based projects require 25%.&nbsp;</p>
<p>This Act provides a framework for promoting climate resilient low carbon economic development. It aims to:</p>
<ol>
<li>mainstream climate change responses into development planning, decision making and implementation;</li>
<li>build resilience and enhance adaptive capacity to the impacts of climate change;</li>
<li>formulate programmes and plans to enhance the resilience and adaptive capacity of human and ecological systems to the impacts of climate change;</li>
<li>mainstream and reinforce climate change disaster risk reduction in strategies and actions of public and private entities;</li>
<li>mainstream intergenerational and gender equity in all aspects of climate change responses;</li>
<li>provide incentives and obligations for private sector contributions to achieving low carbon climate resilient development;</li>
<li>promote low carbon technologies to improve efficiency and reduce emissions intensity by facilitating approaches and uptake of technologies that support low carbon, and climate resilient development;</li>
<li>facilitate capacity development for public participation in climate change responses through awareness creation, consultation, representation and access to information;</li>
<li>mobilize and transparently manage public and other financial resources for climate change response;</li>
<li>provide mechanisms for, and facilitate climate change research and development, training and capacity building;</li>
<li>mainstream the principle of sustainable development into the planning for and decision making on climate change response; and</li>
<li>integrate climate change into the exercise of power and functions of all levels of governance, and to enhance cooperative climate change governance between national government and county governments'.</li>
</ol>
<p>The Act establishes a National Climate Change Council, chaired by the President, with Deputy President as vice-chair, that provides an overarching national climate change coordination mechanism. It also establishes the Climate Change Directorate - Secretariat to the Council and the lead agency of the government on national climate change plans and actions. The prerogatives of the National Climate Change Council include (Art 6):</p>
<ol>
<li>ensure the mainstreaming of the climate change function by the national and county governments;</li>
<li>approve and oversee implementation of the National Climate Change Action Plan</li>
<li>advise the national and county governments on legislative, policy and other measures necessary for climate change response and attaining low carbon climate change resilient development;</li>
<li>approve a national gender and intergenerational responsive public education awareness strategy and implementation programme;</li>
<li>provide policy direction on research and training on climate change including on the collation and dissemination of information relating to climate change to the national and county governments, the public and other stakeholders;</li>
<li>provide guidance on review, amendment and harmonization of sectoral laws and policies in order to achieve the objectives of the Act;</li>
<li>administer the Climate Change Fund;</li>
<li>set the targets for the regulation of greenhouse gas emissions'.</li>
</ol>
<p><br>The Act allows the Council to impose climate change obligations on private entities (Art 16), and stipulates investigation, monitoring and enforcement powers.<br> <br>The Act also mandates the Cabinet Secretary to formulate a National Climate Change Action Plan, to be then updated every five years, with implementation review conducted every two years.<br> <br> The Act allows Citizens to apply to the Environment and Land Court ""alleging that a person has acted in a manner that has or is likely to adversely affect efforts towards mitigation and adaptation to the effects of climate change"" and the court may order a discontinuance or prevention of these actions, and may ""provide compensation to a victim of a violation relating to climate change duties."" It is stipulated that no proof of loss or injury by the applicant is necessary (Art 23).<br> <br> The Act also empowers the National Climate Change Council to assign duties relating to climate change and implementation of the Climate Change Action Plan to both public and private entities (Part IV). It also establishes the Climate Change Fund as the financing mechanism for priority climate change actions and interventions approved by the council. The Fund revenue should come from (Art 25):</p>
<ol>
<li>'monies appropriated from the Consolidated Fund by an Act of Parliament;</li>
<li>monies received byt eh Fund in the form of donations, endowments, grants and gifts; and</li>
<li>monies under and Act payable to the Fund'.</li>
</ol>
",,,,https://kenyalaw.org/kl/fileadmin/pdfdownloads/Acts/2023/TheClimateChange_Amendment_Act_No.9of2023.pdf,PDF accessed manually,Sorted,English,CCLW,KEN,Kenya,2016-05-06 00:00:00+00:00,15/09/2023,Passed/Approved;Amended,2016-05-06;2023-09-15,05/09/2024,29/10/2024,CCLW.document.i00001500.n0000,CCLW.family.2042.0,CCLW.corpus.i00000001.n0000,,Main,Act,Legislative,Adaptation;Mitigation,Adaptation;Disaster Risk Management;Mitigation,,Buildings;Transport,Adaptation;Institutions / Administrative Arrangements;Energy Supply;Energy Demand;Transport,"Standards, obligations and norms|Regulation;Processes, plans and strategies|Governance;Research & Development, knowledge generation|Information",,,,
law-no-121-on-offshore-wind-energy_a27d,Law no. 121 on offshore wind energy,law-no-121-on-offshore-wind-energy_03d1,Law No. 121 on offshore wind energy,"<p>In May 2024, Romania adopted its first offshore wind energy law. The law creates the legislative framework to develop offshore wind projects in the Romanian Black Sea.</p>
",,,,https://www.cdep.ro/pls/legis/legis_pck.htp_act?ida=203222,"Cant reach this page. Taking too long to respond. Connection timed out during automated extraction. But also could not be reached when checked manually. Message read: 'This site can’t be reached
www.cdep.ro took too long to respond.'",,Romanian,CCLW,ROU,Romania,2024-04-30 00:00:00+00:00,30/04/2024,Entered Into Force,30/04/2024,31/07/2024,29/10/2024,CCLW.document.i00001425.n0000,CCLW.family.i00001424.n0000,CCLW.corpus.i00000001.n0000,,Main,Law,Legislative,,Mitigation,,Energy,Renewables;Energy Transition;Wind,,,,,
information-paper-incorporating-an-emissions-reduction-objective-into-the-national-energy-objectives_9d41,Information paper: Incorporating an emissions reduction objective into the national energy objectives,statutes-amendment-national-energy-laws-emissions-reduction-objectives-act-2023_579d,Statutes Amendment (National Energy Laws) (Emissions Reduction Objectives) Act 2023,"<p>This Act amends the National Electricity (South Australia) Act 1996, the National Energy Retail Law (South Australia) Act 2011 and the National Gas (South Australia) Act 2008. It amends the statutory objective of all three Acts to require national authorities to undertake their obligations in a way that gives respect to emissions reduction targets and associated climate targets for participating jurisdictions (including both national and subnational governments). A government memorandum explaining priority rule changes to give effect to the objective is also included with this entry.</p>
<p></p>
",,,Original Language,https://www.energy.gov.au/sites/default/files/2023-06/Incorporating%20an%20emissions%20reduction%20objective%20into%20the%20national%20energy%20objectives%20-%20Information%20Paper.pdf,PDF accessed manually,,English,CCLW,AUS,Australia,2023-09-21 00:00:00+00:00,21/09/2023,Passed/Approved,21/09/2023,22/07/2024,29/10/2024,CCLW.document.i00001377.n0000,CCLW.family.i00001375.n0000,CCLW.corpus.i00000001.n0000,,Supporting Documentation,"Publication,Report",Legislative,,Mitigation,,Energy,,,,,,
physical-and-land-use-planning-act-2019_abab,Physical and Land Use Planning Act 2019 ,physical-and-land-use-planning-act_1616,Physical and Land Use Planning Act ,"<p>This Act implements the need to combat climate change in the contents ofphysical and land use planning acts.<br></p>
",,,Original Language,https://kenyalaw.org/kl/fileadmin/pdfdownloads/Acts/2019/PhysicalandLandUsePlanningAct_No13of2019.pdf,PDF accessed manually,Sorted,English,CCLW,KEN,Kenya,2019-07-16 00:00:00+00:00,16/07/2019,Entered Into Force;Passed/Approved,2019-05-06;2019-07-16,20/05/2024,29/10/2024,CCLW.document.i00001202.n0000,CCLW.family.i00001201.n0000,CCLW.corpus.i00000001.n0000,,Main,Act,Legislative,,,,Other,Climate Change;Land Use,,,,,
the-environment-and-climate-adaptation-levy-act-2015-revised-to-1-st-april-2022_9224,The Environment and Climate Adaptation Levy Act 2015 [Revised to 1 st April 2022],environment-and-climate-adaptation-levy-act-2015_07fd,Environment and Climate Adaptation Levy Act 2015,"<p><span style=""color: rgb(26,32,44);background-color: rgb(255,255,255);font-size: medium;"">The act No.36/2017 amends the Environmental Levy Act of 2015 by deleting the notion of Environmental Levy and substituting it with 'Environmental and Climate Adapation Levy'.  The act establishes environment and climate adaptation levies on prescribed services, items and income. </span></p>
<p>The act was amended by the Plastic Bags Regulations 2017 (L.N. No. 61 of 2017), made under section 17 of the Environment and Climate Adaptation Levy Act 2015, which introduce an Environment and Climate Adaptation Levy charged on plastic bags. This Charge must be collected by a cashier at the point at which a plastic bag is provided by the business to a consumer. It shall then be paid to the Chief Executive Officer and Commissioner of Inland Revenue (CEO).</p>
<p></p>
<p></p>
",,,,https://www.frcs.org.fj/wp-content/uploads/2022/05/Environment-and-Climate-Adaptation-Levy-Act-2015-Revised-1-April-2022.pdf,PDF accessed manually,,English,CCLW,FJI,Fiji,2016-01-01 00:00:00+00:00,01/01/2022,Amended;Passed/Approved;Amended;Amended,2017-07-14;2016-01-01;2017-08-01;2022-01-01,04/05/2024,22/11/2024,CCLW.document.i00001112.n0000,CCLW.family.9146.0,CCLW.corpus.i00000001.n0000,,Summary,Summary,Legislative,,Adaptation,,Transport,Adaptation,Tax incentives|Economic,,,,
